Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;2;3;1;6;71135;63473;12761;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;0;2;1;3;70167;67571;2596;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33171211;ACQIO ADQUIRENCIA INSTITUICAO DE PAGAMENTO S.A.; ;7;1;3;11;0;0;0;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.; ;0;6;0;6;95; ;95;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado); ;20;38;26;84;433641;1101;432595;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);61,10;170;616;35;821;2782207;2164297;1849456;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;5;9;0;14;647861;132;647729;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;19604;8789;15683;
2024;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);3,45;112;155;10;277;32420910;32414740;59871;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;0;6;6;12;63994;4314;59702;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado); ;12;52;7;71;801217;801214;7;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;B3 (conglomerado); ;1;0;1;2;1235;1235; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;9;14;0;23;306968;297582;15236;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33132044;BANCO CEDULA S.A.; ;0;1;0;1;18004;2801;15423;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;4;1;5;33256;1019;32405;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;5,56;48;124;46;218;8625207; ;8625207;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;4;5;7;16;623479;565634;201805;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;1;0;5;6;40793;6;40789;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.; ;28;26;34;88;265304;68862;216806;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;26;37;12;75;1125273;876547;634406;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;45,48;49;34;14;97;1077196;955024;459471;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;5;30;33;68;9900115;9345545;3282475;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33644196;BANCO FATOR S.A.; ;0;1;1;2;160;158;5;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.; ;8;3;3;14;166208;6591;160540;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;0;2;5;7;5848;5842;90;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04866275;BANCO INBURSA S.A.;409,03;73;110;7;190;178471;3;178468;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;0;2;0;2;13803;257;13608;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58497702;BANCO LETSBANK S.A.; ;0;1;0;1;0;0;0;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;6;15;4;25;767613;764762;2924;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;6;20;1;27;113042;10373;103005;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;3;8;4;15;222423;28549;210760;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado);9,75;67;89;44;200;6865755;3090801;4625720;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;1;5;2;8;12545;11489;2558;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOYOTA DO BRASIL S.A. (conglomerado); ;2;4;10;16;162629;15235;148181;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;8;27;9;44;1787590;657863;1449930;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;57839805;BANCO TRICURY S.A.; ;0;0;1;1;775;754;137;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado); ;24;37;6;67;1428132;1389600;421658;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado);7,22;39;213;43;295;5399191;3833120;4118656;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BARIGUI (conglomerado); ;9;25;6;40;349616;315908;51817;
2024;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);4,50;342;1680;731;2753;75849003;69381991;36665003;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC (conglomerado); ;0;5;5;10;9589; ;9589;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;3;0;3;229460;3;229458;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BLU - FINANCEIRO (conglomerado); ;2;0;0;2;39264;39264; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMG (conglomerado);30,01;318;634;75;1027;10594890;5649234;7571655;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMW (conglomerado); ;3;0;3;6;48600;43199;28262;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNP PARIBAS (conglomerado); ;15;188;34;237;1064282;10047;1054504;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNQI - FINANCEIRO (conglomerado); ;18;23;3;44;6509657;6509656;1;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BOCOM (conglomerado); ;1;0;0;1;9238;7708;2263;
2024;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRADESCO (conglomerado);15,43;1644;2423;1041;5108;106523397;101559672;39529313;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRB (conglomerado);178,77;1179;437;248;1864;6594782;4700100;2790878;
2024;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BTG PACTUAL/BANCO PAN (conglomerado);22,25;530;870;197;1597;23817509;18035750;9585063;
2024;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;C6 BANK (conglomerado);10,69;314;961;264;1539;29361259;25222930;8567346;
2024;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);10,33;1570;1632;1107;4309;151947846;150297701;31268095;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;37122487;CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;4;2;9;152163; ;152163;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;4;4;14;55315;54052;7060;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CCB (conglomerado); ;1;19;2;22;133411;2582;131158;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13935893;CELCOIN INSTITUICAO DE PAGAMENTO S.A.;18,21;52;20;1;73;2854330;2854330; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;26225776;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;1;1;2;129566;72;129494;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;01027058;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO; ;6;9;8;23;1413420;1413307;117;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CITIBANK (conglomerado); ;0;15;5;20;18845;18422;1296;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;18189547;CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA; ;27;49;5;81;2622388;2622388; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COBUCCIO (conglomerado);63,52;85;24;76;185;1337983;475753;1133300;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COLOMBO (conglomerado); ;3;16;2;21;271695;65;271647;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;12473687;CONTA PRONTA INSTITUICAO DE PAGAMENTO LTDA; ;0;2;1;3;29520;29520; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05938780;COOPER CARD INSTITUIÇÃO DE PAGAMENTO LTDA.; ;0;5;2;7;286396;4081;285600;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDI-SHOP (conglomerado); ;0;1;1;2;679838; ;679838;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDSYSTEM (conglomerado); ;13;27;29;69;4799234; ;4799234;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREFISA (conglomerado);17,96;86;207;699;992;4786877;2780115;2547971;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DAYCOVAL (conglomerado);50,67;113;382;52;547;2229705;404980;1907590;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO; ;2;2;0;4;2081;2053;173;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;25021356;DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.; ;11;4;2;17;102749;102740;9;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DMCARD (conglomerado); ;0;1;2;3;518;426;456;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13370835;DOCK INSTITUIÇÃO DE PAGAMENTO S.A.;6,12;34;30;0;64;5552990;5538297;15477;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;21018182;EBANX INSTITUICAO DE PAGAMENTOS LTDA.; ;14;10;1;25;206820;206818;2;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EDENRED (conglomerado); ;4;2;0;6;270891;270889;7;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00714671;EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.; ;2;7;0;9;0;0;0;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;39321657;FACEBOOK INSTITUIÇÃO DE PAGAMENTO DO BRASIL LTDA.; ;0;1;1;2;0;0;0;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;45,57;99;233;19;351;2172036;686;2171358;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;3;5;0;8;82751;1440;81336;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FISERV (conglomerado); ;1;2;3;6;130; ;130;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13203354;FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.; ;2;15;3;20;38139;38139; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23114447;FLAGSHIP INSTITUICAO DE PAGAMENTOS LTDA; ;2;1;0;3;80289;80289; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32223020;FLASH TECNOLOGIA E  INSTITUICAO DE PAGAMENTO LTDA; ;5;6;3;14;0;0;0;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;39993186;FORIS GFS BR INSTITUICAO DE PAGAMENTO LTDA; ;0;2;0;2;277772;277772; ;
2024;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02732968;FORTBRASIL INSTITUIÇÃO DE PAGAMENTO S/A; ;6;11;5;22;668665; ;668665;
