Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações reguladas procedentes extrapoladas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;9;2;74780;67550;12322;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABN AMRO (conglomerado); ;5;0;0;0; ;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;4;0;70834;67817;3017;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.; ;4;2;109;13;96;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado); ;118;21;479980;1101;478941;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);383,58;4136;1160;3023278;2359194;1989043;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;36;17;658408;135;658273;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;9;3;20151;9980;15224;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04740876;ALELO INSTITUICAO DE PAGAMENTO SA; ;34;9;3038424;3038424; ;
2024;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);53,55;2871;1732;32339973;32338382;2189;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;15;2;72561;4348;68239;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado); ;136;25;850876;850873;15;
2024;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;B3 (conglomerado); ;8;0;1235;1235; ;
