Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP (conglomerado);33,18;1973;316;759;821;22883342;22883340;2
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;10;3;6;5;48494;42843;10428
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ACG IP (conglomerado); ;5;1;3;2;83302;80939;2749
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ADYEN DO BRASIL IP (conglomerado); ;19;3;3;17;132;13;119
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ IP (conglomerado); ;231;28;41;158;418738;1121;417665
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);625,36;5080;917;2422;1892;3872888;3072551;2475418
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGORACRED S/A SCFI (conglomerado); ;40;2;3;29;682062;138;681924
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AL5 S.A. CFI (conglomerado); ;9;1;2;4;20231;11586;14129
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALELO IP (conglomerado); ;81;16;23;56;5303231;5279341;26443
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL BRASIL IP (conglomerado);2.767,99;432;96;120;376;43305;17492;25818
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;15;0;0;4;4604;4604;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS GESTAO FINANCEIRA IP (conglomerado);50,45;131;49;52;124;1025968;1025965;95
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO B3 (conglomerado); ;3;0;0;1;1176;1176;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO BARI DE INVESTIMENTO E FINANCI. (conglomerado);488,59;94;49;46;101;93336;49470;2883
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO C6 (conglomerado);58,44;5165;513;1858;1538;31796476;28112809;7185042
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;11;0;0;2;34173;1029;33306
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO DIGIMAIS (conglomerado);526,21;226;63;75;190;142406;5256;137910
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31880826;BANCO GUANABARA S.A.; ;2;0;0;1;1818;1763;436
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;10;0;0;5;5945;5930;135
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07656500;BANCO KDB DO BRASIL S.A.; ;8;0;0;2;177;167;12
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO MASTER (conglomerado);226,4;4244;957;2334;1781;10309487;10307452;2264
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PAULISTA (conglomerado); ;15;6;6;14;10977;10977;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SEMEAR (conglomerado); ;17;1;2;9;161868;5799;156790
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOPÁZIO S.A. (conglomerado); ;31;5;11;14;10933;10933;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCOOB (conglomerado);18,66;1055;31;62;524;3343426;3343426;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado); ;143;28;40;100;1480962;1445572;425519
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANK OF CHINA (BRASIL) (conglomerado); ;203;0;0;110;122659;3293;119616
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANQI IP (conglomerado);8,38;120;34;37;109;4463427;4463427;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado);20,59;1309;61;115;694;5580642;3953766;4290782
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);20,55;13364;154;1617;1276;78676764;72491307;37173220
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC S.A. (conglomerado); ;32;1;2;16;17489;0;17489
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO ABN AMRO CLEARING (conglomerado); ;5;0;0;1;1;1;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO ARBI S.A. (conglomerado);86,25;89;50;52;85;606989;606989;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO COOPERATIVO SICREDI (conglomerado); ;157;0;0;25;9865664;9835803;311633
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO CSF S.A. (conglomerado);19,63;1216;98;186;641;9470181;0;9470181
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DA AMAZONIA S.A. (conglomerado); ;27;3;4;20;666223;622752;173932
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DAYCOVAL S.A (conglomerado);35,9;1471;43;83;759;2320949;497722;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DE LAGE LANDEN BRASIL S.A. (conglomerado); ;3;1;1;3;40096;6;40092
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DO EST. DE SE S.A. (conglomerado);46,06;145;38;47;116;1031058;856322;431294
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DO EST. DO PA S.A. (conglomerado);98,88;212;76;94;172;947317;947317;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DO NORDESTE DO BRASIL S.A. (conglomerado); ;180;6;10;111;10402119;9848162;3446501
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO FIBRA S.A. (conglomerado); ;12;4;8;6;165624;7143;159465
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO INBURSA S.A. (conglomerado);899,34;1175;264;460;674;511749;3;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO TOYOTA DO BRASIL S.A. (conglomerado); ;56;9;20;25;164014;15228;149499
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO TRIANGULO S.A. (conglomerado); ;97;10;12;83;1714575;693296;1247924
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BK IP (conglomerado); ;8;1;8;1;2;0;2
