Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP (conglomerado);16,00;1777;134;418;570;26108586;26108584;2;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;15;1;2;8;47365;42893;8950;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ACG IP (conglomerado); ;7;1;7;1;101311;100449;2523;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ADYEN DO BRASIL IP (conglomerado); ;49;5;9;28;154;35;119;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);362,43;5032;654;2606;1262;7191175;5779298;3995829;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGORACRED S/A SCFI (conglomerado); ;60;5;9;35;698179;141;698038;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AL5 S.A. SCFI (conglomerado); ;6;0;0;2;20865;12874;12781;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;50;3;5;30;199612;4780;194861;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS GESTAO FINANCEIRA IP (conglomerado);60,73;195;41;73;109;1207772;1207745;1763;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASTRO IP (conglomerado);953,71;90;45;60;68;62449;62449;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO AFINZ BM (conglomerado);213,39;648;124;168;483;785596;1435;784321;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO B3 (conglomerado); ;6;0;0;3;1212;1212;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO BARI DE INVESTIMENTO E FINANCI. (conglomerado);902,77;157;51;66;121;73300;27494;54246;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO C6 (conglomerado);51,92;6703;384;1738;1421;33467101;29181471;8790766;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO CNH INDUSTRIAL CAPITAL S.A (conglomerado); ;22;1;2;9;33624;948;32827;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO DIGIMAIS (conglomerado);1.464,12;722;157;291;389;199026;5015;194660;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO HSBC (conglomerado); ;13;1;1;12;6203;6185;141;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PAULISTA (conglomerado); ;34;5;7;23;171889;12023;160247;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PLENO (conglomerado); ;81;14;63;18;1201;818;535;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PORTO REAL DE INVEST.S.A (conglomerado); ;0;0;0;1;15;0;15;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO RIBEIRÃO PRETO (conglomerado);33.146,60;291;112;165;198;4966;4800;1316;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SEMEAR (conglomerado); ;42;1;2;18;149334;5484;144471;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado); ;1429;20;56;513;7160712;3232269;4789993;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOPÁZIO S.A. (conglomerado); ;32;5;8;19;11528;10272;2396;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36658769;BANCO XCMG BRASIL S.A.; ;2;0;0;1;434;0;434;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado);61,26;288;68;93;211;1514890;1482592;416305;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62073200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; ;18;0;0;9;4824;4813;129;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANK OF CHINA (BRASIL) (conglomerado); ;35;1;1;24;115766;3129;112863;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANQI IP (conglomerado); ;166;21;34;104;4781423;4781423;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado);33,35;1789;61;194;565;5814177;4243405;4356698;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);16,22;25122;51;1330;963;81983236;75850356;38680544;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC S.A. (conglomerado); ;71;6;10;42;0;0;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO ABN AMRO CLEARING (conglomerado); ;10;0;0;8;1;1;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO ARBI S.A. (conglomerado); ;73;21;43;36;729270;729270;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO CEDULA S.A. (conglomerado); ;4;1;4;1;17904;2701;15413;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO COOPERATIVO SICREDI (conglomerado); ;268;1;11;24;10671660;10639841;332945;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO CSF S.A. (conglomerado);24,51;2083;85;236;750;9630191;0;9630191;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DA AMAZONIA S.A. (conglomerado); ;70;10;16;43;727167;679627;224845;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DAYCOVAL S.A (conglomerado);41,35;2078;30;102;611;2467294;550876;2011732;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DO EST. DE SE S.A. (conglomerado);90,01;249;70;90;193;998260;820893;419729;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DO EST. DO PA S.A. (conglomerado);143,15;430;96;163;254;1135284;1013779;501358;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO DO NORDESTE DO BRASIL S.A. (conglomerado); ;359;3;5;204;11076936;10598233;3799643;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO FIBRA S.A. (conglomerado); ;21;2;4;10;161255;7950;154409;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO INBURSA S.A. (conglomerado);187,54;880;70;148;415;791445;3;791442;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO KDB BRASIL S.A. (conglomerado); ;7;0;0;3;182;168;17;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO TOYOTA DO BRASIL S.A. (conglomerado); ;70;11;18;43;153997;15225;139397;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BCO TRIANGULO S.A. (conglomerado); ;140;21;32;92;1532808;562172;1113434;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BK IP (conglomerado); ;15;4;12;5;192443;192443;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMG (conglomerado);83,18;5007;198;778;1279;9347503;5260380;6437110;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMW (conglomerado); ;19;2;5;8;60735;51465;32910;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNP PARIBAS (conglomerado); ;186;20;23;161;450403;8588;442036;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRADESCO (conglomerado);43,89;34725;420;4849;2846;110474071;104714733;44437305;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRB (conglomerado);190,49;3938;395;1753;987;9202174;5031959;4788828;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BS2 (conglomerado);137,29;120;30;49;73;359192;355040;8267;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BTG PACTUAL/BANCO PAN (conglomerado);33,67;8750;181;901;1724;26750691;21833101;10332703;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BULLLA IP (conglomerado);109,36;190;41;76;102;698334;610530;159221;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);17,23;20136;130;2724;961;158055739;156657324;30057278;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA GERAL (conglomerado); ;101;0;0;69;1102;1066;130;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CALCARD IP (conglomerado); ;108;20;37;57;966566;0;966566;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CELCOIN IP (conglomerado);19,23;440;99;182;239;9477305;9477305;1;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CIELO IP (conglomerado); ;221;5;20;56;1621604;1621497;124;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CITIBANK (conglomerado); ;33;1;1;23;17428;17232;1006;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CLARA IP (conglomerado); ;8;0;0;2;21406;18849;7432;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CLARO PAY IP (conglomerado); ;85;12;16;62;1177423;1177423;0;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CLOUDWALK IP (conglomerado);6,43;1422;38;102;535;15824756;15822191;232632;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COBUCCIO SCFI (conglomerado);288,14;3082;375;1060;1236;3678041;2600474;2088736;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CONTAAZUL IP (conglomerado); ;6;1;3;2;27624;27624;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COOPER CARD IP (conglomerado); ;33;2;4;15;521691;317857;289632;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CORA SCFI (conglomerado); ;246;10;16;158;2535607;2522445;119668;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDI SHOP S.A. (conglomerado); ;25;1;3;9;668960;0;668960;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDIARE CFI (conglomerado); ;30;4;7;17;233964;65;233900;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDSYSTEM IP (conglomerado);33,76;513;76;125;313;3688691;0;3688691;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREFISA S.A. CFI (conglomerado);111,48;3732;308;898;1277;8056619;3804035;5035473;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO - PRUDENCIA (conglomerado); ;28;5;12;12;192067;192061;6;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DM SCFI (conglomerado);87,39;942;171;356;454;4078625;2453190;2274944;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DOCK IP (conglomerado);11,50;197;31;50;123;4316135;4269284;51140;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EAGLE SCD (conglomerado); ;32;6;12;16;1881;0;1881;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EBANX IP (conglomerado);24,31;113;47;64;83;2631803;2631803;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EDENRED SOLUCOES E IP AHA (conglomerado); ;14;1;3;5;798379;793019;6781;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EFI S.A. IP (conglomerado);107,87;154;47;73;99;677733;676926;43203;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS IP - (conglomerado); ;17;3;5;10;955129;955129;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FACTA S.A. CFI (conglomerado);2.167,37;5688;440;3097;808;1429116;686;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FINAMAX S.A. CFI (conglomerado); ;28;1;2;16;31770;1172;30614;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FITBANK IP (conglomerado); ;58;22;36;35;212999;212999;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FLAGSHIP IP (conglomerado); ;14;1;3;5;105911;105911;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FLASH TECNOLOGIA IP (conglomerado); ;9;1;9;1;447365;420000;31043;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FORIS GFS BR IP (conglomerado); ;12;2;8;3;335759;335759;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GAZINCRED SCFI (conglomerado); ;17;1;3;6;146370;75751;83864;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GENIAL (conglomerado);20,21;112;32;47;77;2302063;2301742;11423;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GM (conglomerado); ;107;8;13;66;276064;510;275639;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GOLCRED (conglomerado); ;10;1;3;3;42851;26;42830;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GOOGLE PAY BRASIL IP (conglomerado); ;4;0;0;2;0;0;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HONDA (conglomerado); ;167;17;21;136;126;126;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HS FINANCEIRA (conglomerado); ;66;20;43;31;231754;573;231239;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;IFOOD PAGO IP (conglomerado); ;124;21;33;79;933218;933216;2;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;75;6;11;41;90800;3809;87773;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INOVANTI IP (conglomerado); ;4;1;4;1;2668;2668;0;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INTER (conglomerado);39,23;8567;171;1647;882;41962921;41654010;8797904;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ITAU (conglomerado);36,24;31413;401;3636;3703;100321592;85390737;51933769;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;IUGU IP (conglomerado); ;80;23;34;54;286862;286859;3;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;JBCRED S.A. SCFI (conglomerado); ;70;4;6;45;61672;0;61672;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;JP MORGAN CHASE (conglomerado); ;5;0;0;2;0;0;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;49288113;KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO; ;10;0;0;2;222;222;1;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;KREDILIG S.A. - CFI (conglomerado); ;19;4;8;9;429823;10;429819;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;LEBES FINANCEIRA SCFI (conglomerado); ;40;0;0;19;398621;42;398580;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;LECCA (conglomerado); ;133;22;32;92;29282;61;29221;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MAGALUPAY IP (conglomerado); ;139;15;23;84;3581665;3581656;38;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MAX IP (conglomerado); ;19;0;0;10;0;0;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCADO BITCOIN IP (conglomerado); ;18;1;3;6;31933;31933;0;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCADO PAGO IP (conglomerado);38,66;12064;441;2661;1821;68819314;68741842;9002347;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);221,12;4169;403;1929;878;8724867;5709563;4849962;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MÊNTORE IP (conglomerado);211,75;472;105;250;198;1182044;1182044;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MIDWAY S.A. - SCFI (conglomerado); ;1445;22;66;485;9265581;4647915;7315597;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;50871921;MT INSTITUICAO DE PAGAMENTO SA; ;16;3;16;3;60;60;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NAIP IP (conglomerado); ;35;7;15;16;1902214;1902214;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NEGRESCO S.A. - CFI (conglomerado); ;41;2;3;30;562066;751;561315;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NEON PAGAMENTOS IP (conglomerado);39,59;2903;360;1031;1023;26033974;25978261;4324956;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NG CASH IP (conglomerado);15,63;74;30;56;40;3550291;3550291;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NOVO BCO CONTINENTAL S.A. - BM (conglomerado);54,30;203;34;64;108;1176822;21034;0;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NU PAGAMENTOS (conglomerado);12,04;42638;64;1350;1714;112017464;110077655;69756661;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NVIO BRASIL BITSO IP (conglomerado); ;41;7;9;31;1322339;1322339;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;OKTO IP (conglomerado); ;8;0;0;2;36;36;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;OMNI (conglomerado); ;542;27;48;303;1972972;4508;1969042;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ONEKEY PAYMENTS IP (conglomerado); ;2;1;2;1;147;147;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ORIGINAL (conglomerado);71,72;1033;38;93;420;1303116;25299;1282797;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;OURIBANK (conglomerado); ;91;7;14;47;1516255;1516255;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGBRASIL TECNOLOGIA IP (conglomerado); ;21;0;0;13;1;1;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGCERTO IP (conglomerado); ;14;1;2;8;84618;84618;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20110153;PAGHIPER INSTITUIÇAO DE PAGAMENTO LTDA.; ;5;0;0;1;5;5;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;34471744;PAGME INSTITUIÇÃO DE PAGAMENTO LTDA.; ;5;0;0;1;8891;8891;0;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGSEGURO (conglomerado);32,09;4962;223;1090;889;33963849;33877085;2674086;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGSMILE IP (conglomerado); ;15;1;2;8;0;0;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGUEVELOZ IP (conglomerado); ;195;22;39;111;4733108;4733104;4;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PARANÁ BANCO (conglomerado);41,78;506;57;100;287;2404948;10660;2394657;
